"中小型A級動能50報酬指數","6,274.35","+","11.39","0.18",
"特選高息低波報酬指數","5,390.35","+","9.92","0.18",
"臺灣生技報酬指數","4,849.24","+","7.25","0.15",
"水泥類報酬指數","169.75","+","0.40","0.24",
"食品類報酬指數","2,025.26","-","7.99","-0.39",
"塑膠類報酬指數","380.25","+","2.81","0.74",
"紡織纖維類報酬指數","686.91","+","6.94","1.02",
"電機機械類報酬指數","251.59","+","0.64","0.26",
"電器電纜類報酬指數","56.54","+","0.73","1.31",
"化學生技醫療類報酬指數","130.10","+","0.74","0.57",
"化學類報酬指數","143.33","+","0.58","0.41",
"生技醫療類報酬指數","79.30","+","0.66","0.84",
"玻璃陶瓷類報酬指數","45.15","+","0.42","0.94",
"造紙類報酬指數","347.54","-","2.67","-0.76",
"鋼鐵類報酬指數","140.56","+","0.84","0.60",
"橡膠類報酬指數","428.44","-","0.10","-0.02",
"汽車類報酬指數","338.52","+","0.01","--",
"電子類報酬指數","730.42","+","4.55","0.63",
"半導體類報酬指數","256.07","+","0.79","0.31",
"電腦及週邊設備類報酬指數","170.63","+","3.30","1.97",
"光電類報酬指數","65.82","+","1.61","2.51",
"通信網路類報酬指數","214.80","-","0.90","-0.42",
"電子零組件類報酬指數","144.90","-","0.68","-0.47",
"電子通路類報酬指數","211.53","+","1.37","0.65",
"資訊服務類報酬指數","153.61","-","0.08","-0.05",
"其他電子類報酬指數","147.00","+","1.44","0.99",
"建材營造類報酬指數","384.26","+","0.61","0.16",
"航運類報酬指數","85.09","+","0.14","0.16",
"觀光類報酬指數","149.84","-","0.69","-0.46",
"金融保險類報酬指數","1,609.13","+","2.33","0.15",
"貿易百貨類報酬指數","285.27","+","0.55","0.19",
"油電燃氣類報酬指數","177.13"," ","--","--"
